,time_index,values,outlier,series_id,outlier_2,good,sum
337,2017-12-04,44.387604,0,1,0,0,281
338,2017-12-05,39.769695,0,1,0,0,281
339,2017-12-06,36.578716,0,1,0,0,281
340,2017-12-07,31.761286,0,1,0,0,281
341,2017-12-08,31.197584,0,1,0,0,281
342,2017-12-09,26.77544,0,1,0,0,281
343,2017-12-10,30.333534,0,1,0,0,281
344,2017-12-11,36.861378,0,1,0,0,281
345,2017-12-12,38.660355,0,1,0,0,281
346,2017-12-13,40.815205,0,1,0,0,281
347,2017-12-14,40.52551,0,1,0,0,281
348,2017-12-15,41.189976,0,1,0,0,281
349,2017-12-16,38.48518,0,1,0,0,281
350,2017-12-17,43.2711,0,1,0,0,281
351,2017-12-18,51.838707,0,1,0,0,281
352,2017-12-19,45.884068,0,1,0,0,281
353,2017-12-20,39.558376,0,1,0,0,281
354,2017-12-21,34.17551,0,1,0,0,281
355,2017-12-22,31.20008,0,1,0,0,281
356,2017-12-23,26.875906,0,1,0,0,281
357,2017-12-24,32.659065,0,1,0,0,281
358,2017-12-25,36.954952,0,1,0,0,281
359,2017-12-26,36.382114,0,1,0,0,281
360,2017-12-27,32.537483,0,1,0,0,281
361,2017-12-28,33.647575,0,1,0,0,281
362,2017-12-29,36.735992,0,1,0,0,281
363,2017-12-30,38.307247,0,1,0,0,281
364,2017-12-31,40.55689,0,1,0,0,281
365,2018-01-01,45.308556,0,1,0,0,281
366,2018-01-02,41.994724,0,1,0,0,281
367,2018-01-03,34.078007,0,1,0,0,281
368,2018-01-04,28.612175,0,1,0,0,281
369,2018-01-05,26.160192,0,1,0,0,281
370,2018-01-06,22.111261,0,1,0,0,281
371,2018-01-07,25.653059,0,1,0,0,281
372,2018-01-08,35.41657,0,1,0,0,281
373,2018-01-09,38.485443,0,1,0,0,281
374,2018-01-10,37.99652,0,1,0,0,281
375,2018-01-11,35.68792,0,1,0,0,281
376,2018-01-12,33.254463,0,1,0,0,281
377,2018-01-13,28.447016,0,1,0,0,281
378,2018-01-14,29.397396,0,1,0,0,281
379,2018-01-15,36.876747,0,1,0,0,281
380,2018-01-16,36.7952,0,1,0,0,281
381,2018-01-17,38.636253,0,1,0,0,281
382,2018-01-18,42.737473,0,1,0,0,281
383,2018-01-19,40.29884,0,1,0,0,281
384,2018-01-20,28.782444,0,1,0,0,281
385,2018-01-21,25.530031,0,1,0,0,281
386,2018-01-22,32.907352,0,1,0,0,281
387,2018-01-23,35.998714,0,1,0,0,281
388,2018-01-24,39.006626,0,1,0,0,281
389,2018-01-25,42.111637,0,1,0,0,281
390,2018-01-26,48.161915,0,1,0,0,281
391,2018-01-27,44.382797,0,1,0,0,281
392,2018-01-28,40.516895,0,1,0,0,281
393,2018-01-29,40.608074,0,1,0,0,281
394,2018-01-30,40.847008,0,1,0,0,281
395,2018-01-31,42.610943,0,1,0,0,281
396,2018-02-01,42.570393,0,1,0,0,281
397,2018-02-02,35.572918,0,1,0,0,281
